,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
201,45,46,Kosovo,6.1,0.882,1.232,,0.489,0.262,0.006,2019
202,46,47,Argentina,6.086,1.092,1.432,,0.471,0.066,0.05,2019
203,47,48,Romania,6.07,1.162,1.232,,0.462,0.083,0.005,2019
204,48,49,Cyprus,6.046,1.263,1.223,,0.406,0.19,0.041,2019
205,49,50,Ecuador,6.028,0.912,1.3119999999999998,,0.498,0.126,0.087,2019
206,50,51,Kuwait,6.021,1.5,1.319,,0.493,0.142,0.097,2019
207,51,52,Thailand,6.007999999999999,1.05,1.409,,0.557,0.359,0.028,2019
208,52,53,Latvia,5.94,1.187,1.465,,0.264,0.075,0.064,2019
209,53,54,South Korea,5.895,1.301,1.219,,0.159,0.175,0.056,2019
210,54,55,Estonia,5.893,1.237,1.528,,0.495,0.103,0.161,2019
211,55,56,Jamaica,5.89,0.831,1.4780000000000002,,0.49,0.107,0.028,2019
212,56,57,Mauritius,5.888,1.12,1.402,,0.498,0.215,0.06,2019
213,57,58,Japan,5.886,1.327,1.419,,0.445,0.069,0.14,2019
214,58,59,Honduras,5.86,0.642,1.236,,0.507,0.246,0.078,2019
215,59,60,Kazakhstan,5.809,1.173,1.508,,0.41,0.146,0.096,2019
216,60,61,Bolivia,5.779,0.7759999999999999,1.209,,0.511,0.13699999999999998,0.064,2019
217,61,62,Hungary,5.757999999999999,1.2009999999999998,1.41,,0.199,0.081,0.02,2019
218,62,63,Paraguay,5.7429999999999986,0.855,1.475,,0.514,0.184,0.08,2019
219,63,64,Northern Cyprus,5.718,1.263,1.252,,0.417,0.191,0.162,2019
220,64,65,Peru,5.697,0.96,1.274,,0.455,0.083,0.027000000000000003,2019
221,65,66,Portugal,5.693,1.221,1.431,,0.508,0.047,0.025,2019
222,66,67,Pakistan,5.653,0.677,0.8859999999999999,,0.313,0.22,0.098,2019
223,67,68,Russia,5.648,1.183,1.452,,0.334,0.08199999999999999,0.031,2019
224,68,69,Philippines,5.631,0.807,1.293,,0.5579999999999999,0.117,0.107,2019
225,69,70,Serbia,5.603,1.004,1.383,,0.282,0.13699999999999998,0.039,2019
226,70,71,Moldova,5.529,0.685,1.328,,0.245,0.181,0.0,2019
227,71,72,Libya,5.525,1.044,1.3030000000000002,,0.416,0.133,0.152,2019
228,72,73,Montenegro,5.523,1.051,1.361,,0.197,0.142,0.08,2019
229,73,74,Tajikistan,5.4670000000000005,0.493,1.098,,0.389,0.23,0.14400000000000002,2019
230,74,75,Croatia,5.432,1.155,1.266,,0.29600000000000004,0.119,0.022,2019
231,75,76,Hong Kong,5.43,1.4380000000000002,1.277,,0.44,0.258,0.287,2019
232,76,77,Dominican Republic,5.425,1.015,1.401,,0.4970000000000001,0.113,0.101,2019
233,77,78,Bosnia and Herzegovina,5.386,0.945,1.212,,0.212,0.263,0.006,2019
234,78,79,Turkey,5.372999999999998,1.183,1.36,,0.195,0.083,0.106,2019
235,79,80,Malaysia,5.339,1.221,1.171,,0.508,0.26,0.024,2019
236,80,81,Belarus,5.323,1.067,1.465,,0.235,0.094,0.142,2019
237,81,82,Greece,5.287000000000001,1.181,1.156,,0.067,0.0,0.034,2019
238,82,83,Mongolia,5.285,0.948,1.531,,0.317,0.235,0.038,2019
239,83,84,North Macedonia,5.274,0.983,1.294,,0.345,0.185,0.034,2019
240,84,85,Nigeria,5.265,0.696,1.111,,0.426,0.215,0.041,2019
241,85,86,Kyrgyzstan,5.261,0.551,1.4380000000000002,,0.508,0.3,0.023,2019
242,86,87,Turkmenistan,5.247000000000001,1.052,1.538,,0.394,0.244,0.028,2019
243,87,88,Algeria,5.211,1.002,1.16,,0.086,0.073,0.114,2019
244,88,89,Morocco,5.207999999999998,0.8009999999999999,0.782,,0.418,0.036000000000000004,0.076,2019
245,89,90,Azerbaijan,5.207999999999998,1.043,1.147,,0.35100000000000003,0.035,0.182,2019
246,90,91,Lebanon,5.197,0.987,1.224,,0.21600000000000005,0.166,0.027000000000000003,2019
